,,Hypervolume,Hypervolume,Hypervolume,Hypervolume,Hypervolume,Hypervolume,Hypervolume,Hypervolume,IGD,IGD,IGD,IGD,IGD,IGD,IGD,IGD
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Problem,Algorithm,,,,,,,,,,,,,,,,
DTLZ1,NSGA-II,30.0,0.08750325608864282,0.18379358243959285,0.0,0.0,0.00041459426078634213,0.04288584497488467,0.6417392817952255,30.0,1.6105949477600074,0.750072859018778,0.5835994555832141,1.0519090342864883,1.4738525501225421,2.0826836544918037,3.245771951216961
DTLZ1,SMS-EMOA,30.0,0.5844547802712985,0.5074625870664813,0.0,0.01018954664568254,0.6724558239329985,1.1191367444703018,1.3042443917787299,30.0,0.8154865799925066,0.6431297785899239,0.018622343734239693,0.29345869820573683,0.59225958377777,1.2121323826392996,2.0517288668649667
DTLZ2,NSGA-II,30.0,0.7121332541989072,0.006093762136899003,0.6979687283141651,0.7087745845029266,0.7122296730205797,0.7164213801276451,0.7225754028935968,30.0,0.0720085372978191,0.002994983618070756,0.0674370384497724,0.06943624522108183,0.07213775823155119,0.07401733725701229,0.07942215800009102
DTLZ2,SMS-EMOA,30.0,0.7568222737232018,0.00018610064487846673,0.7564500122729985,0.7567078503198481,0.7568106609563876,0.7568779784780097,0.7572214973590277,30.0,0.06653852820200633,0.0011827872350206187,0.06454977426478146,0.06585789668191346,0.06627145329961114,0.06718336798790167,0.07004631707466645
DTLZ4,NSGA-II,30.0,0.7121115180783925,0.005161922393088461,0.6976973046596628,0.7089807862254001,0.7132322692489881,0.7156322210603872,0.7202707335652474,30.0,0.07139873375640086,0.0025281654212788883,0.06695708731993696,0.06996509557761932,0.0714296918075707,0.07262437653521592,0.07848415684252211
DTLZ4,SMS-EMOA,30.0,0.6345354916383126,0.21026583627159792,0.12099461959601054,0.4630351927658253,0.7567986731339451,0.7569745736300677,0.7571526272340855,30.0,0.24815445239325928,0.3026275987622266,0.06493566415945674,0.06594057188280954,0.067073133354841,0.5331983512981753,0.9494239737265004
